sex,age,housemates,city,nationality,region,qualification,working status,weight,bed time,sleeping hours,sleep importance,smoke,smoke begin,smoke object,drugs kind,drugs frequency,drugs,teetotaler,beer,wine,liquors,drinks,sport importance,sport,sport frequency,sport effort,sport diet,work distance,work transportation,bike,bike frequency,walk frequency,steps app,eating habit,food supplements,supplement frequency,supplement reason,nutritional values,which values,food shopping,food quality,skip meals,which meals skip,water a-day,sugary drinks,food impact on health,food weigh,cooking,cooking frequency,eating habits change,change reason,age at change,vegetables,carbohidrates,legumes,cheese,meat,fish,eggs,fruits morning,dried nuts morning,snacks morning,fruits evening,dried nuts evening,snacks evening,fast food a month,frozen food a month,delivered food a month,sleeping hours code,bike code,walks code,sugary drinks code,diet health score,lifestyle score
Male,18.0,Parents,Town,Italia,Nord,Middle school,Student,71.0,Between 23 and 1,7-8,68.0,No,None,None,None,None,No,No,0.0,0.0,2.0,4.0,74.0,Yes,4.0,87.0,No,Between 1 and 5 km,"car,walking",Yes,Rarely,Often,No,No,No,None,None,No,None,Parents,65.0,No,None,Between 1 and 2 liters,Often,29.0,No,No,I can't cook,No,None,None,5.0,10.0,0.0,9.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,6.0,4.0,2,4,2,2,-1.3784610308297909,0.8102222240969824
Female,21.0,Flatmates,Metropolis,Italia,Nord,High school diploma,"Student,Part time ",73.0,Between 23 and 1,7-8,100.0,Yes,Before 18,Sigaretta,Light,Occasionally,Yes,No,6.0,6.0,1.0,3.0,74.0,Yes,2.0,40.0,No,Between 1 and 5 km,public transportation,No,I've go no bike,Sometimes,Yes,No,No,None,None,Sometimes,None,Me,39.0,No,None,Between 1 and 2 liters,Often,77.0,No,Yes,Almost always,Yes,Living alone,19,5.0,13.0,0.0,11.0,10.0,9.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,26.0,10.0,2,2,4,2,-1.5441535239119961,-0.825473924085992
Male,52.0,With a partner,Town,Italia,Sud,High school diploma,Full time,96.0,Between 23 and 1,6-7,83.0,No,None,None,None,None,No,No,0.0,9.0,6.0,0.0,50.0,No,0.0,50.0,None,Less than 1 km,car,No,I've go no bike,Often,No,No,No,None,None,Yes,Calories,Me,50.0,No,None,Less than 1 liter,Rarely,65.0,Yes,Yes,Almost always,Yes,Medical needs,50,7.0,5.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,2,3,-0.153462243360427,-1.8807617616233951
Female,21.0,Parents,Town,Italia,Nord,High school diploma,"Student,Part time ",53.0,After 1,6-7,96.0,No,None,None,None,None,No,No,0.0,1.0,0.0,0.0,76.0,Yes,4.0,86.0,No,More than 5 km,public transportation,No,I've go no bike,Almost never,No,No,No,None,None,Sometimes,None,Parents,45.0,Yes,Breakfast,Less than 1 liter,Almost never,95.0,No,Yes,Often,Yes,"Body shape,Sport",19,14.0,7.0,4.0,4.0,6.0,2.0,7.0,3.0,2.0,0.0,4.0,3.0,0.0,1.0,3.0,2.0,1,2,1,1,1.2696190673561674,-0.7727095322091219
Male,21.0,Parents,Metropolis,Italia,Nord,High school diploma,Student,66.0,Between 23 and 1,8-9,100.0,Yes,Before 18,Tabacco da rollare,Light,Occasionally,Yes,No,4.0,1.0,1.0,2.0,65.0,No,0.0,50.0,None,Between 1 and 5 km,car,Yes,Almost never,Rarely,No,No,Yes,Occasionally,Personal choices,No,None,Parents,82.0,No,None,Between 1 and 2 liters,Sometimes,78.0,Yes,Yes,Often,No,None,None,4.0,7.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,10.0,3.0,3,1,3,4,-0.6464612223521554,-1.6960863900543497
Male,20.0,Parents,Town,Italia,Nord,High school diploma,"Student,Part time ",62.0,Between 23 and 1,7-8,100.0,No,None,None,Light,Occasionally,Yes,No,1.0,0.0,0.0,2.0,85.0,Yes,5.0,67.0,No,More than 5 km,"car,public transportation",Yes,Sometimes,Almost never,Yes,No,No,None,None,No,None,Parents,69.0,No,None,More than 2 liters,Almost never,77.0,No,Yes,Sometimes,Yes,"End of High School,Body shape",19,2.0,10.0,3.0,7.0,7.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,7.0,6.0,2,5,1,1,-0.4754436724407375,0.5991646565895019
Male,25.0,Flatmates,City,Italia,Nord,Bachelor degree,Student,69.0,Before 23,6-7,80.0,Yes,After 18,Tabacco da rollare,Light,Often,Yes,No,5.0,3.0,2.0,4.0,77.0,Yes,2.0,26.0,No,More than 5 km,"public transportation,walking",No,I've go no bike,Almost always,No,No,No,None,None,Yes,Calories,Me,77.0,No,None,Between 1 and 2 liters,Sometimes,75.0,No,Yes,Almost always,Yes,"Living alone,Body shape",21,7.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,1.0,4.0,2.0,2.0,1,2,0,4,-0.104937411990093,-0.3505943971941607
Male,26.0,Parents,Town,Italia,Nord,Bachelor degree,Full time,100.0,Between 23 and 1,8-9,74.0,No,None,None,None,None,No,No,2.0,1.0,1.0,0.0,78.0,Yes,3.0,63.0,No,More than 5 km,car,No,I've go no bike,Often,Yes,No,No,None,None,No,None,Parents,58.0,No,None,Between 1 and 2 liters,Sometimes,89.0,No,Yes,Sometimes,Yes,"Body shape,Sport",18,6.0,10.0,5.0,7.0,11.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,9.0,5.0,3,2,2,4,-0.07702163269317708,-0.7463273362706867
Female,20.0,Parents,Town,Italia,Nord,High school diploma,Student,59.0,Between 23 and 1,6-7,84.0,Occasionally,None,None,None,None,No,No,1.0,0.0,0.0,1.0,49.0,No,0.0,50.0,None,Between 1 and 5 km,"public transportation,walking",Yes,Almost never,Rarely,Yes,No,No,None,None,No,None,Parents,100.0,Yes,Breakfast,Between 1 and 2 liters,Almost never,66.0,No,Yes,Sometimes,Yes,Body shape,17,14.0,7.0,0.0,1.0,12.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,2.0,7.0,0.0,2.0,1,1,3,1,-0.6149518961748606,-0.08677243780980988
Female,21.0,Parents,City,Italia,Nord,High school diploma,"Student,Part time ",58.0,Between 23 and 1,6-7,100.0,No,None,None,None,None,No,No,0.0,0.0,0.0,1.0,71.0,Yes,4.0,76.0,No,More than 5 km,car,Yes,Sometimes,Often,Yes,Semi-vegetarian,No,None,None,Yes,Calories,Parents,77.0,Yes,None,Between 1 and 2 liters,Rarely,100.0,No,Yes,Often,Yes,Vegetarianism,2,14.0,7.0,5.0,5.0,0.0,10.0,0.0,7.0,7.0,4.0,7.0,7.0,3.0,0.0,5.0,1.0,1,5,2,3,1.4164406648232077,0.3353426972051515
Male,20.0,Parents,City,Italia,Nord,High school diploma,"Student,Part time ",75.0,After 1,6-7,50.0,Yes,Before 18,Sigaretta,Light,Occasionally,Yes,No,7.0,1.0,1.0,2.0,62.0,Yes,3.0,55.0,Yes,More than 5 km,public transportation,Yes,Rarely,Sometimes,No,No,No,None,None,Sometimes,None,Parents,56.0,Yes,Breakfast,Between 1 and 2 liters,Almost never,57.0,No,Yes,Often,Yes,Sport,19,10.0,10.0,2.0,2.0,5.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,0.0,1,4,4,1,-0.0679424477104186,-0.5616519647016411
Male,20.0,Parents,Town,Italia,Nord,High school diploma,Student,70.0,Between 23 and 1,7-8,97.0,No,None,None,None,None,No,No,1.0,1.0,0.0,1.0,75.0,Yes,3.0,40.0,No,More than 5 km,public transportation,Yes,Rarely,Often,No,No,No,None,None,No,None,Parents,83.0,No,None,Between 1 and 2 liters,Sometimes,78.0,No,Yes,Sometimes,No,None,None,7.0,7.0,3.0,1.0,7.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,2,4,2,4,-0.48047681379014684,-0.3242122012557257
Male,21.0,Parents,Town,Italia,Nord,High school diploma,Student,88.0,Between 23 and 1,6-7,66.0,No,None,None,None,None,No,No,2.0,0.0,1.0,1.0,100.0,Yes,4.0,96.0,Yes,More than 5 km,public transportation,Yes,Almost never,Almost always,Yes,No,Yes,Often,Sport,No,None,Me,88.0,No,None,Between 1 and 2 liters,Often,79.0,No,Yes,Almost never,Yes,"Body shape,Sport",20,8.0,11.0,11.0,11.0,14.0,4.0,11.0,7.0,1.0,3.0,6.0,1.0,3.0,1.0,2.0,1.0,1,1,0,2,0.28823985221757803,-0.7463273362706867
Male,20.0,Parents,Metropolis,Italia,Nord,High school diploma,Student,62.0,Between 23 and 1,7-8,89.0,No,None,None,None,None,No,No,0.0,0.0,0.0,1.0,89.0,Yes,2.0,79.0,No,Less than 1 km,walking,Yes,Almost never,Often,No,No,No,None,None,No,None,Parents,63.0,No,None,Between 1 and 2 liters,Sometimes,89.0,No,Yes,Rarely,Yes,Body shape,18,4.0,11.0,6.0,4.0,8.0,2.0,2.0,3.0,1.0,4.0,5.0,2.0,3.0,3.0,7.0,1.0,2,1,2,4,-0.05419250296110466,-0.2186834175019851
