sesso,eta_1,coinqui,citta,etnia_1,regione,tit_studio,lavoro,altezza_1,peso_1,ora_letto,ore_di_sonno,imp_sonno_1,fumo,fumo_inizio,fumo_oggetto,droghe,droghe_tipo,droghe_freq,alcol_sino,alcol_quant_1,alcol_quant_2,alcol_quant_3,alcol_quant_4,sport_imp_1,sport,sport_freq_1,sport_impegno_1,sport_dieta,scuola_dist,scuola_mezzo,bici,bici_freq,passeggiata_freq,app_passi,veg,integratori,integratori_freq,integratori_why,valori_nut,valori_nut_quali,spes,qualita_economicita_1,salto_pasti,salto_pasti_quali,acqua_quanta,bibite_freq,alimentaz_imp_1,peso_cibo,so_cucinare,cucino_io,abitudini_cambio,abitudini_why_cambio,abitudini_anni_cambi,giorno_cibi_1,giorno_cibi_2,giorno_cibi_3,giorno_cibi_4,giorno_cibi_5,giorno_cibi_6,giorno_cibi_7,pausa_mattina_cibi_1,pausa_mattina_cibi_2,pausa_mattina_cibi_3,pausa_mattina_cibi_4,pausa_pome_cibi_1,pausa_pome_cibi_2,pausa_pome_cibi_3,pausa_pome_cibi_4,fast_food_freq_1,surgelati_freq_1,asporto_freq_1,ore_sonno_code,bici_code,pass_code,bibite_code,health,lifestyle
Maschio,18.0,Genitori/genitore,Paese ,Italia,Nord,Licenza media,Studente,115.0,71.0,Tra le 23 e l'1,7-8 ore,68.0,No,999,999,No,999,999,No,0.0,0.0,2.0,4.0,74.0,Sì,4.0,87.0,No,Tra 1 e 5 km,"auto,piedi",Sì,Raramente,Spesso,No,No,No,999,999,No,999,Genitori,65.0,No,999,Tra 1 e 2 litri,Spesso,29.0,No,No,Non so cucinare,No,999,999,5.0,10.0,0.0,9.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,6.0,4.0,2,3,4,4,-8.076477615547581,4.642857142857142
Femmina,21.0,Coinquilini,Metropoli  ,Italia,Nord,Maturità,"Studente,Lavoratore part time",101.0,73.0,Tra le 23 e l'1,7-8 ore,100.0,Sì,Prima dei 18 anni,Sigaretta,Sì,Leggere,Occasionalmente,No,6.0,6.0,1.0,3.0,74.0,Sì,2.0,40.0,No,Tra 1 e 5 km,metro,No,Quasi mai,A volte,Sì,No,No,999,999,A volte,999,Io,39.0,No,999,Tra 1 e 2 litri,Spesso,77.0,No,Sì,Quasi sempre,Sì,Quando sono andato a vivere da solo,19,5.0,13.0,0.0,11.0,10.0,9.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,4.0,3.0,26.0,10.0,2,1,0,4,-8.480286695432712,-3.7857142857142856
Maschio,52.0,Con un partner,Paese ,Italia,Sud,Maturità,Lavoratore a tempo pieno,123.0,96.0,Tra le 23 e l'1,6-7 ore,83.0,No,999,999,No,999,999,No,0.0,9.0,6.0,0.0,50.0,No,0.0,50.0,999,Meno di 1 km,auto,No,Quasi mai,Spesso,No,No,No,999,999,Sì,"Calorie, grassi, zuccheri",Io,50.0,No,999,Meno di 1 litro,Raramente,65.0,Sì,Sì,Quasi sempre,Sì,Per necessità mediche,50,7.0,5.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,4,3,-3.206405209542651,-1.6428571428571428
Femmina,21.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,"Studente,Lavoratore part time",210.0,53.0,Dopo l'1,6-7 ore,96.0,No,999,999,No,999,999,No,0.0,1.0,0.0,0.0,76.0,Sì,4.0,86.0,No,Più di 5 km,metro,No,Quasi mai,Quasi mai,No,No,No,999,999,A volte,999,Genitori,45.0,Sì,Colazione,Meno di 1 litro,Quasi mai,95.0,No,Sì,Spesso,Sì,"Per la mia forma fisica,Per lo sport",19,14.0,7.0,4.0,4.0,6.0,2.0,7.0,3.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,3.0,2.0,1,1,1,2,0.9050588360870838,-0.1428571428571428
Maschio,21.0,Genitori/genitore,Metropoli  ,Italia,Nord,Maturità,Studente,107.0,66.0,Tra le 23 e l'1,8-9 ore,100.0,Sì,Prima dei 18 anni,Tabacco da rollare,Sì,Leggere,Occasionalmente,No,4.0,1.0,1.0,2.0,65.0,No,0.0,50.0,999,Tra 1 e 5 km,auto,Sì,Quasi mai,Raramente,No,No,Sì,Occasionalmente,Scelte personali,No,999,Genitori,82.0,No,999,Tra 1 e 2 litri,A volte,78.0,Sì,Sì,Spesso,No,999,999,4.0,7.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,10.0,3.0,3,1,3,0,-5.933841608947484,-0.6428571428571428
Maschio,20.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,"Studente,Lavoratore part time",105.0,62.0,Tra le 23 e l'1,7-8 ore,100.0,No,999,999,Sì,Leggere,Occasionalmente,No,1.0,0.0,0.0,2.0,85.0,Sì,5.0,67.0,No,Più di 5 km,"auto,metro",Sì,A volte,Quasi mai,Sì,No,No,999,999,No,999,Genitori,69.0,No,999,Più di 2 litri,Quasi mai,77.0,No,Sì,A volte,Sì,"Quando ho finito le superiori,Per la mia forma fisica",19,2.0,10.0,3.0,7.0,7.0,2.0,1.0,3.0,2.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,7.0,6.0,2,0,1,2,-5.840746712441533,1.5714285714285712
Maschio,25.0,Coinquilini,Citta,Italia,Nord,Laurea triennale,Studente,103.0,69.0,Prima delle 23,6-7 ore,80.0,Sì,Dopo i 18 anni,Tabacco da rollare,Sì,Leggere,Abitualmente,No,5.0,3.0,2.0,4.0,77.0,Sì,2.0,26.0,No,Più di 5 km,"metro,piedi",No,Quasi mai,Quasi sempre,No,No,No,999,999,Sì,"Calorie, grassi, zuccheri",Io,77.0,No,999,Tra 1 e 2 litri,A volte,75.0,No,Sì,Quasi sempre,Sì,"Quando sono andato a vivere da solo,Per la mia forma fisica",21,7.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,4.0,2.0,2.0,1,1,2,0,-4.266953806023773,3.5
Maschio,26.0,Genitori/genitore,Paese ,Italia,Nord,Laurea triennale,Lavoratore a tempo pieno,133.0,100.0,Tra le 23 e l'1,8-9 ore,74.0,No,999,999,No,999,999,No,2.0,1.0,1.0,0.0,78.0,Sì,3.0,63.0,No,Più di 5 km,auto,No,Quasi mai,Spesso,Sì,No,No,999,999,No,999,Genitori,58.0,No,999,Tra 1 e 2 litri,A volte,89.0,No,Sì,A volte,Sì,"Per la mia forma fisica,Per lo sport",18,6.0,10.0,5.0,7.0,11.0,4.0,2.0,3.0,4.0,4.0,0.0,3.0,4.0,4.0,0.0,3.0,9.0,5.0,3,1,4,0,-2.2483764427663377,3.428571428571429
Femmina,20.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,208.0,59.0,Tra le 23 e l'1,6-7 ore,84.0,Occasionalmente,999,999,No,999,999,No,1.0,0.0,0.0,1.0,49.0,No,0.0,50.0,999,Tra 1 e 5 km,"metro,piedi",Sì,Quasi mai,Raramente,Sì,No,No,999,999,No,999,Genitori,100.0,Sì,Colazione,Tra 1 e 2 litri,Quasi mai,66.0,No,Sì,A volte,Sì,Per la mia forma fisica,17,14.0,7.0,0.0,1.0,12.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,7.0,0.0,2.0,1,1,3,2,-4.533333333333333,2.2142857142857144
Femmina,21.0,Genitori/genitore,Citta,Italia,Nord,Maturità,"Studente,Lavoratore part time",105.0,58.0,Tra le 23 e l'1,6-7 ore,100.0,No,999,999,No,999,999,No,0.0,0.0,0.0,1.0,71.0,Sì,4.0,76.0,No,Più di 5 km,auto,Sì,A volte,Spesso,Sì,Semi-vegetariano (mangi il pesce),No,999,999,Sì,"Calorie, grassi, zuccheri",Genitori,77.0,Sì,999,Tra 1 e 2 litri,Raramente,100.0,No,Sì,Spesso,Sì,"Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...)",2,14.0,7.0,5.0,5.0,0.0,10.0,0.0,7.0,7.0,4.0,0.0,7.0,7.0,3.0,0.0,0.0,5.0,1.0,1,0,4,3,1.5620436789023544,2.357142857142857
