120cm (3'9")
121cm (4'0")
122cm (4'0")
123cm (4'0")
124cm (4'1")
125cm (4'1")
126cm (4'1")
127cm (4'2")
128cm (4'2")
129cm (4'2")
130cm (4'3")
131cm (4'3")
132cm (4'3")
133cm (4'4")
134cm (4'4")
135cm (4'4")
136cm (4'5")
137cm (4'5")
138cm (4'5")
139cm (4'6")
140cm (4'6")
141cm (4'6")
142cm (4'7")
143cm (4'7")
144cm (4'7")
145cm (4'8")
146cm (4'8")
147cm (4'8")
148cm (4'9")
149cm (4'9")
150cm (4'9")
151cm (5'0")
152cm (5'0")
153cm (5'0")
154cm (5'1")
155cm (5'1")
156cm (5'1")
157cm (5'2")
158cm (5'2")
159cm (5'2")
160cm (5'2")
161cm (5'3")
162cm (5'3")
163cm (5'3")
164cm (5'4")
165cm (5'4")
166cm (5'4")
167cm (5'5")
168cm (5'5")
169cm (5'5")
170cm (5'6")
171cm (5'6")
172cm (5'6")
173cm (5'7")
174cm (5'7")
175cm (5'7")
176cm (5'8")
177cm (5'8")
178cm (5'8")
179cm (5'9")
180cm (5'9")
181cm (5'9")
182cm (6'0")
183cm (6'0")
184cm (6'0")
185cm (6'1")
186cm (6'1")
187cm (6'1")
188cm (6'2")
189cm (6'2")
190cm (6'2")
191cm (6'3")
192cm (6'3")
193cm (6'3")
194cm (6'4")
195cm (6'4")
196cm (6'4")
197cm (6'5")
198cm (6'5")
199cm (6'5")
200cm (6'6")
201cm (6'6")
202cm (6'6")
203cm (6'7")
204cm (6'7")
205cm (6'7")
206cm (6'8")
207cm (6'8")
208cm (6'8")
209cm (6'9")
210cm (6'9")
