"Informazioni cronologiche","Mothertongue ","Second Language","You showed up an hour late for a dinner with your friends. ","You borrowed your father’s keys but you lost them. Your father needs them back.","You had just left the restaurant and you are checking the receipt, you noticed that you had paid less than you should have","You were supposed to go to a friend’s graduation party but forgot to do so because you had a job interview.","You accidentally run into the women’s toilet/men’s toilet while in a Pub.","You are eating an ice cream in a crowed place and it falls on a stranger's shoe","You had been invited to a dinner party and you forgot to take with you the bottle of wine that you have promised to bring ","You suggested an answer to a friend during an exam and you found out later that it was wrong"
"2019/11/29 4:58:00 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","4","4"
"2019/11/29 4:58:14 PM CET","Italian","English","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","2","4"
"2019/11/29 5:00:05 PM CET","Italian","English","4","2","4","2","2","4","3 (somewhat severe)","5 (severe)"
"2019/11/29 5:00:06 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","2","2","2","4","3 (somewhat severe)","4"
"2019/11/29 5:31:01 PM CET","Italian","Italian","4","5 (severe)","2","5 (severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","4"
"2019/11/29 5:32:29 PM CET","Italian","English","2","3 (somewhat severe)","2","2","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/11/29 5:32:47 PM CET","Italian","English","2","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","2","1 (not severe)","2"
"2019/11/29 5:34:02 PM CET","Italian","English","4","3 (somewhat severe)","4","5 (severe)","2","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/11/29 5:35:58 PM CET","Italian","Italian","4","2","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","4","4"
"2019/11/29 5:42:20 PM CET","Italian","English","2","4","1 (not severe)","1 (not severe)","1 (not severe)","4","3 (somewhat severe)","1 (not severe)"
"2019/11/29 5:54:45 PM CET","Italian","English","2","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/11/29 5:56:18 PM CET","Italian","English","2","3 (somewhat severe)","2","2","2","3 (somewhat severe)","4","4"
"2019/11/29 5:56:35 PM CET","Other","English","4","4","2","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/11/29 5:56:39 PM CET","Italian","English","4","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2"
"2019/11/29 5:58:48 PM CET","Other","Other","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2","4","2","2"
"2019/11/29 6:00:11 PM CET","Italian","English","4","5 (severe)","3 (somewhat severe)","4","1 (not severe)","2","2","2"
"2019/11/29 6:00:38 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","5 (severe)","2","1 (not severe)","4","3 (somewhat severe)","4"
"2019/11/29 6:10:55 PM CET","Italian","English","4","4","3 (somewhat severe)","4","2","4","4","4"
"2019/11/29 6:11:59 PM CET","Italian","Italian","2","4","1 (not severe)","3 (somewhat severe)","2","4","3 (somewhat severe)","3 (somewhat severe)"
"2019/11/29 6:12:10 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","5 (severe)","5 (severe)","1 (not severe)","3 (somewhat severe)","5 (severe)","4"
"2019/11/29 6:12:32 PM CET","Italian","English","3 (somewhat severe)","4","2","2","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/11/29 6:12:33 PM CET","English","Italian","3 (somewhat severe)","2","4","3 (somewhat severe)","2","2","2","4"
"2019/11/29 6:13:16 PM CET","Italian","English","3 (somewhat severe)","3 (somewhat severe)","2","2","2","2","2","1 (not severe)"
"2019/11/29 6:15:00 PM CET","Other","English","3 (somewhat severe)","2","1 (not severe)","4","2","4","5 (severe)","3 (somewhat severe)"
"2019/11/29 6:17:22 PM CET","Italian","English","3 (somewhat severe)","4","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","4","4"
"2019/11/29 6:17:30 PM CET","Italian","English","1 (not severe)","2","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","2","3 (somewhat severe)"
"2019/11/29 6:17:56 PM CET","Italian","English","4","1 (not severe)","1 (not severe)","2","2","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/11/29 6:18:34 PM CET","Italian","English","4","4","3 (somewhat severe)","4","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/11/29 6:19:40 PM CET","Italian","English","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","1 (not severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)"
