"Informazioni cronologiche","Mothertongue ","Second Language","You forgot an important meeting with your boss.","You were using a friend's computer and erased  the most important file she/he had been working on for the past months.","You borrowed  your sister's laptop and broke it.","You accidently knocked an elderly man over when getting off the subway in a hurry.","You cheated during an exam/test.","You crossed the road with the red light.","You took the bus but you didn't buy the ticket.","You didn't leave your seat on a public transport to someone in need"
"2019/11/29 5:15:06 PM CET","Italian","English","4","5(extremely severe)","4","4","2","3(somewhat severe)","4","3(somewhat severe)"
"2019/11/29 5:16:10 PM CET","Italian","English","4","5(extremely severe)","4","4","2","1(not severe at all)","3(somewhat severe)","4"
"2019/11/29 5:16:22 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","4","5(extremely severe)","3(somewhat severe)","4","4","5(extremely severe)"
"2019/11/29 5:34:58 PM CET","Italian","English","3(somewhat severe)","1(not severe at all)","3(somewhat severe)","3(somewhat severe)","3(somewhat severe)","3(somewhat severe)","3(somewhat severe)","3(somewhat severe)"
"2019/11/29 5:35:01 PM CET","Italian","English","4","4","3(somewhat severe)","3(somewhat severe)","1(not severe at all)","1(not severe at all)","1(not severe at all)","3(somewhat severe)"
"2019/11/29 5:44:07 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","3(somewhat severe)","3(somewhat severe)","3(somewhat severe)","3(somewhat severe)","1(not severe at all)","3(somewhat severe)"
"2019/11/29 5:44:31 PM CET","Italian","Italian","5(extremely severe)","5(extremely severe)","5(extremely severe)","5(extremely severe)","3(somewhat severe)","2","4","5(extremely severe)"
"2019/11/29 5:44:55 PM CET","Italian","English","4","5(extremely severe)","5(extremely severe)","3(somewhat severe)","2","1(not severe at all)","3(somewhat severe)","3(somewhat severe)"
"2019/11/29 5:46:22 PM CET","Italian","Other","5(extremely severe)","4","4","1(not severe at all)","4","1(not severe at all)","4","3(somewhat severe)"
"2019/11/29 5:47:25 PM CET","Italian","English","5(extremely severe)","4","4","2","2","1(not severe at all)","2","3(somewhat severe)"
"2019/11/29 5:49:06 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","3(somewhat severe)","1(not severe at all)","1(not severe at all)","1(not severe at all)","1(not severe at all)","1(not severe at all)"
"2019/11/29 5:49:11 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","5(extremely severe)","2","2","1(not severe at all)","1(not severe at all)","2"
"2019/11/29 5:50:29 PM CET","Italian","English","4","4","4","2","2","1(not severe at all)","1(not severe at all)","1(not severe at all)"
"2019/11/29 5:56:15 PM CET","Italian","English","4","4","3(somewhat severe)","2","1(not severe at all)","1(not severe at all)","1(not severe at all)","3(somewhat severe)"
"2019/11/29 6:08:01 PM CET","Italian","Other","4","5(extremely severe)","5(extremely severe)","4","4","2","4","3(somewhat severe)"
"2019/11/29 6:20:29 PM CET","Italian","English","3(somewhat severe)","4","1(not severe at all)","3(somewhat severe)","1(not severe at all)","1(not severe at all)","1(not severe at all)","4"
"2019/11/29 6:25:53 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","4","5(extremely severe)","3(somewhat severe)","2","3(somewhat severe)","4"
"2019/11/29 6:30:07 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","3(somewhat severe)","2","3(somewhat severe)","1(not severe at all)","4","5(extremely severe)"
"2019/11/29 6:30:44 PM CET","Italian","Other","5(extremely severe)","5(extremely severe)","4","3(somewhat severe)","3(somewhat severe)","5(extremely severe)","3(somewhat severe)","4"
"2019/11/29 6:32:46 PM CET","Italian","English","4","5(extremely severe)","4","3(somewhat severe)","2","2","3(somewhat severe)","3(somewhat severe)"
"2019/11/29 6:33:27 PM CET","Italian","English","4","5(extremely severe)","5(extremely severe)","3(somewhat severe)","1(not severe at all)","3(somewhat severe)","2","3(somewhat severe)"
"2019/11/29 6:34:32 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","5(extremely severe)","4","1(not severe at all)","1(not severe at all)","1(not severe at all)","3(somewhat severe)"
"2019/11/29 6:35:20 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","5(extremely severe)","3(somewhat severe)","1(not severe at all)","1(not severe at all)","2","4"
"2019/11/29 6:46:41 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","5(extremely severe)","4","3(somewhat severe)","2","3(somewhat severe)","4"
"2019/11/29 6:48:08 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","3(somewhat severe)","2","3(somewhat severe)","1(not severe at all)","4","5(extremely severe)"
"2019/11/29 6:55:27 PM CET","Italian","Italian","5(extremely severe)","5(extremely severe)","4","2","3(somewhat severe)","2","2","3(somewhat severe)"
"2019/11/29 7:09:15 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","5(extremely severe)","3(somewhat severe)","3(somewhat severe)","3(somewhat severe)","4","3(somewhat severe)"
"2019/11/29 7:16:02 PM CET","Other","English","5(extremely severe)","5(extremely severe)","5(extremely severe)","3(somewhat severe)","2","3(somewhat severe)","1(not severe at all)","2"
"2019/11/29 7:20:39 PM CET","Other","Other","3(somewhat severe)","5(extremely severe)","2","1(not severe at all)","2","2","3(somewhat severe)","4"
"2019/11/29 7:21:38 PM CET","Other","Other","5(extremely severe)","5(extremely severe)","5(extremely severe)","5(extremely severe)","5(extremely severe)","5(extremely severe)","5(extremely severe)","5(extremely severe)"
"2019/11/29 7:24:12 PM CET","Other","English","5(extremely severe)","5(extremely severe)","4","3(somewhat severe)","2","1(not severe at all)","3(somewhat severe)","3(somewhat severe)"
"2019/11/29 7:26:50 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","3(somewhat severe)","3(somewhat severe)","4","4","3(somewhat severe)","3(somewhat severe)"
"2019/11/29 7:27:33 PM CET","Other","Other","4","4","5(extremely severe)","4","2","1(not severe at all)","3(somewhat severe)","4"
"2019/11/29 7:33:18 PM CET","Other","Italian","4","5(extremely severe)","4","3(somewhat severe)","2","5(extremely severe)","3(somewhat severe)","3(somewhat severe)"
"2019/11/29 7:34:11 PM CET","Other","Other","1(not severe at all)","1(not severe at all)","1(not severe at all)","1(not severe at all)","1(not severe at all)","2","1(not severe at all)","2"
"2019/11/29 7:47:44 PM CET","Other","English","3(somewhat severe)","5(extremely severe)","3(somewhat severe)","4","1(not severe at all)","1(not severe at all)","1(not severe at all)","4"
"2019/11/29 7:53:39 PM CET","Other","English","5(extremely severe)","5(extremely severe)","4","4","3(somewhat severe)","1(not severe at all)","2","5(extremely severe)"
"2019/11/29 8:16:07 PM CET","Italian","English","5(extremely severe)","5(extremely severe)","4","4","3(somewhat severe)","4","3(somewhat severe)","4"
"2019/11/29 8:38:48 PM CET","Other","Other","5(extremely severe)","5(extremely severe)","3(somewhat severe)","5(extremely severe)","1(not severe at all)","4","2","3(somewhat severe)"
"2019/11/29 8:54:47 PM CET","Other","Other","5(extremely severe)","5(extremely severe)","4","4","4","2","3(somewhat severe)","4"
"2019/11/29 9:02:38 PM CET","Italian","Other","5(extremely severe)","5(extremely severe)","5(extremely severe)","5(extremely severe)","3(somewhat severe)","1(not severe at all)","2","4"
"2019/11/29 9:02:48 PM CET","Italian","Other","5(extremely severe)","5(extremely severe)","5(extremely severe)","5(extremely severe)","3(somewhat severe)","1(not severe at all)","2","4"
"2019/11/29 11:03:47 PM CET","Other","Italian","4","4","4","2","1(not severe at all)","3(somewhat severe)","1(not severe at all)","2"
"2019/11/29 11:12:42 PM CET","Other","English","5(extremely severe)","5(extremely severe)","4","4","3(somewhat severe)","1(not severe at all)","5(extremely severe)","4"
"2019/11/29 11:46:11 PM CET","Italian","English","4","4","4","3(somewhat severe)","2","1(not severe at all)","3(somewhat severe)","3(somewhat severe)"
"2019/11/30 12:24:31 AM CET","Other","Italian","4","4","4","4","1(not severe at all)","1(not severe at all)","1(not severe at all)","4"
"2019/11/30 1:34:32 AM CET","Other","English","5(extremely severe)","5(extremely severe)","4","4","3(somewhat severe)","2","2","2"
"2019/11/30 11:41:36 AM CET","Italian","English","5(extremely severe)","5(extremely severe)","3(somewhat severe)","4","2","5(extremely severe)","2","5(extremely severe)"
"2019/11/30 11:43:27 AM CET","Italian","English","5(extremely severe)","5(extremely severe)","4","5(extremely severe)","2","2","5(extremely severe)","5(extremely severe)"
"2019/11/30 11:43:50 AM CET","Italian","Italian","5(extremely severe)","5(extremely severe)","4","4","4","2","3(somewhat severe)","4"
"2019/11/30 11:52:31 AM CET","Italian","Italian","5(extremely severe)","5(extremely severe)","4","4","4","2","5(extremely severe)","5(extremely severe)"
"2019/11/30 12:03:37 PM CET","Italian","English","5(extremely severe)","4","4","4","3(somewhat severe)","2","3(somewhat severe)","3(somewhat severe)"
"2019/11/30 12:04:26 PM CET","Italian","Italian","4","4","4","1(not severe at all)","2","1(not severe at all)","2","3(somewhat severe)"
